time_index,card.nic.pps.avg.r
1605018000000.0,1288466
1605018060000.0,1257669
1605018120000.0,1337487
1605018180000.0,1373828
1605018240000.0,1405743
1605018300000.0,1419084
1605018360000.0,1412279
1605018420000.0,1408337
1605018480000.0,1287348
1605018540000.0,1415576
1605018600000.0,1426764
1605018660000.0,1423239
1605018720000.0,1422354
1605018780000.0,1420346
1605018840000.0,1397131
1605018900000.0,1368325
1605018960000.0,1430697
1605019020000.0,1424183
1605019080000.0,1416443
1605019140000.0,1418630
1605019200000.0,1424477
1605019260000.0,1423386
1605019320000.0,1425867
1605019380000.0,1428973
1605019440000.0,1410147
1605019500000.0,1424257
1605019560000.0,1397190
1605019620000.0,1361855
1605019680000.0,1413899
1605019740000.0,1374663
1605019800000.0,1408816
1605019860000.0,1409748
1605019920000.0,1418125
1605019980000.0,1421076
1605020040000.0,1417516
1605020100000.0,1415070
1605020160000.0,1406615
1605020220000.0,1419494
1605020280000.0,1326240
1605020340000.0,1285788
1605020400000.0,1298545
1605020460000.0,1395364
1605020520000.0,1296099
1605020580000.0,1368486
1605020640000.0,1304842
1605020700000.0,1325166
1605020760000.0,1310973
1605020820000.0,1296769
1605020880000.0,1192856
1605020940000.0,1333988
1605021000000.0,1402533
1605021060000.0,1373957
1605021120000.0,1405194
1605021180000.0,1379767
1605021240000.0,1364780
1605021300000.0,1302073
1605021360000.0,1385562
1605021420000.0,1247273
1605021480000.0,1210420
1605021540000.0,1120066
1605021600000.0,1102026
1605021660000.0,1129917
1605021720000.0,1314477
1605021780000.0,1192123
1605021840000.0,1141594
1605021900000.0,1137720
1605021960000.0,1030914
1605022020000.0,1079292
1605022080000.0,971372
1605022140000.0,1088964
1605022200000.0,1085336
1605022260000.0,1153080
1605022320000.0,1112721
1605022380000.0,1119370
1605022440000.0,1235234
1605022500000.0,1295052
1605022560000.0,1241336
1605022620000.0,1298056
1605022680000.0,1377868
1605022740000.0,1230640
1605022800000.0,1260318
1605022860000.0,1305773
1605022920000.0,1197232
1605022980000.0,1248119
1605023040000.0,1292670
1605023100000.0,1164274
1605023160000.0,1195573
1605023220000.0,1229429
1605023280000.0,1293308
1605023340000.0,1309307
1605023400000.0,1384235
1605023460000.0,1393617
1605023520000.0,1254146
1605023580000.0,1241423
1605023640000.0,1263790
1605023700000.0,1280081
1605023760000.0,1203758
1605023820000.0,1138514
1605023880000.0,1241332
1605023940000.0,1244361
1605024000000.0,1177579
1605024060000.0,1162967
1605024120000.0,1208902
1605024180000.0,1395964
1605024240000.0,1385310
1605024300000.0,1393041
1605024360000.0,1148118
1605024420000.0,1159273
1605024480000.0,1170431
1605024540000.0,1173596
1605024600000.0,1214002
1605024660000.0,1083821
1605024720000.0,1006614
1605024780000.0,1081116
1605024840000.0,1040931
1605024900000.0,1186654
1605024960000.0,1038588
1605025020000.0,1014657
1605025080000.0,1210970
1605025140000.0,1225405
1605025200000.0,1019120
1605025260000.0,965095
1605025320000.0,973535
1605025380000.0,1101072
1605025440000.0,1198909
1605025500000.0,1075122
1605025560000.0,1056565
1605025620000.0,1048443
1605025680000.0,938575
1605025740000.0,897785
1605025800000.0,851853
1605025860000.0,789199
1605025920000.0,805774
1605025980000.0,799841
1605026040000.0,799308
1605026100000.0,796708
1605026160000.0,920668
1605026220000.0,954442
1605026280000.0,905775
1605026340000.0,852633
1605026400000.0,940764
1605026460000.0,1123549
1605026520000.0,1090989
1605026580000.0,934852
1605026640000.0,969083
1605026700000.0,883064
1605026760000.0,876576
1605026820000.0,827771
1605026880000.0,821126
1605026940000.0,902174
1605027000000.0,808359
1605027060000.0,834548
1605027120000.0,693063
1605027180000.0,783927
1605027240000.0,920656
1605027300000.0,972188
1605027360000.0,960029
1605027420000.0,951545
1605027480000.0,967284
1605027540000.0,913035
1605027600000.0,838693
1605027660000.0,801494
1605027720000.0,832837
1605027780000.0,884189
1605027840000.0,837530
1605027900000.0,774269
1605027960000.0,837154
1605028020000.0,748887
1605028080000.0,820016
1605028140000.0,818359
1605028200000.0,808806
1605028260000.0,830079
1605028320000.0,830780
1605028380000.0,784159
1605028440000.0,729671
1605028500000.0,709552
1605028560000.0,760944
1605028620000.0,901060
1605028680000.0,784872
1605028740000.0,769938
1605028800000.0,597796
1605028860000.0,703546
1605028920000.0,705173
1605028980000.0,718778
1605029040000.0,806787
1605029100000.0,849968
1605029160000.0,892045
1605029220000.0,793244
1605029280000.0,651324
1605029340000.0,618017
1605029400000.0,636810
1605029460000.0,611813
1605029520000.0,720428
1605029580000.0,722414
1605029640000.0,696849
1605029700000.0,787164
1605029760000.0,820359
1605029820000.0,739628
1605029880000.0,878515
1605029940000.0,803912
1605030000000.0,805629
1605030060000.0,813319
1605030120000.0,854159
1605030180000.0,836385
1605030240000.0,752532
1605030300000.0,841385
1605030360000.0,667495
1605030420000.0,653079
1605030480000.0,658074
1605030540000.0,714805
1605030600000.0,694199
1605030660000.0,580265
1605030720000.0,589535
1605030780000.0,598401
1605030840000.0,533735
1605030900000.0,511917
1605030960000.0,671277
1605031020000.0,652211
1605031080000.0,683857
1605031140000.0,643490
1605031200000.0,713493
1605031260000.0,623136
1605031320000.0,586107
1605031380000.0,551778
1605031440000.0,611895
1605031500000.0,506335
1605031560000.0,608802
1605031620000.0,641016
1605031680000.0,629318
1605031740000.0,701949
1605031800000.0,667062
1605031860000.0,744149
1605031920000.0,723122
1605031980000.0,655483
1605032040000.0,620561
1605032100000.0,651160
1605032160000.0,654061
1605032220000.0,657030
1605032280000.0,659278
1605032340000.0,699835
1605032400000.0,741702
1605032460000.0,765113
1605032520000.0,818280
1605032580000.0,814348
